s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	labels
22000.4	-10907.78	0	0	0	-3813.09	1293.18	7353.21	52544.27	76232.05	-2.81	209.45	27931.81	68187.46	345832.65	1
-27281.9	29508.01	0	0	0	5473.21	1347.26	18055.89	-3919.96	46123.84	-0.33	-72.23	2420.25	64224	413547.67	1
-19352.53	5796.65	0	0	0	-19.35	19637	8191.44	11687.84	49611.19	1.71	-80.01	295.71	62892.47	297868.23	1
23736.48	42023.47	0	0	0	-3855.34	7017.43	-14332.46	-16351.02	38218.13	0.56	-143.12	-4487.9	70178.4	428222.02	1
24554.75	9588.93	0	0	0	-1880.16	-10400.96	1363.25	-6307.47	41781.29	-2.38	-87.38	-5771.34	66679.95	421493.43	1
-11610.54	30457.25	0	0	0	787.8	11403.7	10862.44	-10466.41	46682.24	0.33	-9.91	22511.1	76787	397802.79	1
10679.77	11824.88	0	0	0	-6429.55	-3349.13	8684.3	36654.54	85491.38	-2.17	-9.95	19705.72	56411.11	306466.24	1
11282.31	11742.44	0	0	0	-2622.65	631.36	2599.16	36668.9	84308.82	-5.19	38.75	23268.85	63549.88	325726.33	1
5800.19	24276.39	0	0	0	-326.31	5466.41	14649.22	26414.79	57635.83	0.51	-70.61	4084.23	57402.29	292029.37	1
21396.13	15380.38	0	0	0	1903.4	435.78	16823.58	32326.72	58731.26	-1.45	-61.28	4020.02	56056.05	287707.03	1
-28476.74	28529.01	0	0	0	983.34	-146.27	-3297.82	-9465	40676.81	-2.43	-88.42	-4871	67283.46	422020.51	1
16504.87	16569.93	0	0	0	2429.29	11009.83	14687.65	50817.88	97657.65	5.42	46.81	23247.89	58255.99	262205.22	1
-21702.94	22040.67	0	0	0	2897.27	5336.25	10650.47	44062.32	83753.27	2.58	-13.19	16134.9	49045.67	233183.94	1
-7682.47	18380.14	0	0	0	377.36	-4857.31	680.03	28973.27	78687.4	-1.09	-12.36	17409.81	60096.7	310271.23	1
8535.27	19044.71	0	0	0	150.72	4279.83	16493.52	59188.85	105098.06	-3.56	34.93	24552.21	57443.89	258629.39	1
-5739.62	17367.82	0	0	0	1531.76	3415.43	-5219.22	18742.02	70076.92	-9.94	4.07	19764.31	66545.29	320911.41	1
11623.93	25858.87	0	0	0	-5550.92	522.2	-4667.81	47558.75	87772.68	-2.61	16.1	19918.32	50511.5	240507.57	1
-5447.82	21140.3	0	0	0	-554.19	-2567.3	3028.83	27153.34	71229.71	4.29	72.17	25979.83	70163.32	360323.39	1
-17321.98	5946.57	0	0	0	-2690	-1188.3	13371.04	72054.57	108891.74	-1.42	59.72	23728.36	56195.48	251044.47	1
16762.1	3125.14	0	0	0	-4974.43	-112.35	-3108.63	52143.3	95597.8	1.27	0.91	19548.08	50454.96	238511.1	1
-33217.36	-31711.85	0	0	0	3661.7	6346.74	21060.24	46407.93	30613.07	-3.8	38.75	6788.27	-4871.77	-20278.67	1
44098.19	56245.11	0	0	0	3211.05	2050.07	-15453.47	-27524.84	36643.38	3.13	-86.79	7555.61	77467.52	448468.8	1
24282.13	30471.3	0	0	0	4981.46	5180.51	7074	4343.46	45891.46	-5.9	-79.85	-4231.41	64836.1	419050	1
