labels	s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	
1	-156.95	515.54	1009.51	0	0	2026.9	-10522.08	-10448.25	2438.74	2672.62	6.39	-2821.99	-18140.82	-13323.73	-58864.13	
1	-143.49	-228.86	-600.7	0	0	-2692.32	2019.24	20194.91	42996.7	60921.04	2.51	-16445.64	40753.11	23729.04	106280.73	
1	677.11	-631.52	-1260.56	0	0	1515.79	1470.6	6296.51	12322.13	5529	-2.74	-3205.56	-8486.75	-1384.99	-28610.74	
1	1044.51	185.74	271.57	0	0	637.7	12496.96	6267.6	10359.32	4667.04	20.39	666.82	-10436.98	-13653.51	-38420.13	
1	307.7	-134.19	285.37	0	0	3210.12	-12318.88	-428.56	19920.73	32223.68	3.76	-19272.42	-613.84	1011.19	33086.85	
1	-1205.56	-1136.76	-702.19	0	0	-1485.53	4726.13	15558.32	14108.17	9614.41	4.53	-372.8	-8498.74	-2457.31	-29606.37	
1	1243.8	1253.54	1759.24	0	0	1701.08	-9420.2	-1971.29	20.67	14486.7	7.04	-2214.13	-10616.94	-25415.36	-97197.47	
1	-347.08	-372.16	585.91	0	0	2171.85	-2941.06	-10998.38	15207.25	46609.72	18.41	-663.22	6763.52	2014.2	3939.93	
1	383.6	1378.47	1531.61	0	0	-2902.59	4919.36	-10756.47	-2452.98	-10711.24	8.74	-9258.28	-22109.64	-24974.18	-181139.83	
1	542.11	-413.19	-182.42	0	0	261.45	8698.51	18152.25	32612.13	57208.41	36.55	-1259.62	15591.02	11506.43	101013.56	
1	-1508.79	-772.13	918.44	0	0	4584.28	12411.49	3692.39	8544.44	33510.37	-10.05	-2365.6	-659	-6410.78	-84060.65	
1	734.51	-1261.71	-1549.52	0	0	129.87	11794.81	3724.92	12160.85	11228.8	-13.1	2196.84	736.61	2504.22	-17504.29	
1	-962.59	-58.09	-1186.34	0	0	-1133.4	-138.87	17520.25	57462.12	75592.41	2.3	-3362.5	21355.4	24673.55	151779.09	
1	669.13	2.93	-499.78	0	0	1162.14	8463.62	27875.95	38030.22	62170.95	1.98	5394.92	18777.21	14186.66	107926.32	
1	-1316.06	-271.84	1258.85	0	0	-1032.79	466.1	-4628.81	8297.51	18996.03	7.85	-7198.38	1093.92	-10004.16	-106480.63	
1	1351.94	226.16	-319.19	0	0	1122.31	-5831.83	6111.76	17990.52	5322.92	-21.14	-4710.19	-9906.89	-1057.8	-33671.65	
1	596.23	-356.45	141.42	0	0	-611.41	13687.45	1324.11	19920.75	29716.42	5.04	-11372.51	-1120.16	714.03	28879.25	
1	-1444.04	-497.65	493.33	0	0	-262.69	2007.1	15605.25	10812.35	2634.13	5.08	-2811.5	-10257.06	-13686.07	-39085.77	
1	437.24	-509.12	-206.14	0	0	1174.61	-4820.89	-9455.98	21404.27	21146.48	-17	-4006.44	-2561.07	-972.6	-24135.35	
1	669.83	-30.63	210.66	0	0	3879.54	5101.82	2514.93	13587.62	7274.2	-1.09	-10303.5	-10424.71	-3425.56	-40510.2	
1	604.95	1338.99	1695.5	0	0	1148.29	3238.97	-5940.17	-5284.05	-3428.31	6.74	-602.07	-26932.29	-23546.78	-155818.43	
1	1355.81	598.89	-1713.06	0	0	4737.59	4814.38	12419.5	41979.4	65395.49	2.82	5497.18	21942.14	24713.53	173643.97	
1	-699.42	-50.41	1266.66	0	0	-6292.85	-7042.86	9413.72	1454.04	17064.2	8.93	2084.66	-13249.85	-17778.88	-108984.57	
1	-372.73	-202.36	206.69	0	0	-1554.8	-1981.85	5487.4	10183.23	6406.43	12.53	-4170.78	-7600.3	-9463.31	-39874.24	
1	1260.85	1511.17	1698.37	0	0	500.07	-9799.92	-16359.91	-7146.69	-13159.41	-38.49	-2620.59	-23816.13	-29305.95	-184502.69	
1	-1370.9	-596.93	185.89	0	0	-2713.39	-1068.75	2696.65	29281.94	48463.52	-22.59	-11189.43	5895.08	6504.9	91488	
1	-1176.1	-1485.65	-2051.1	0	0	-4035.7	-5290.34	10005.32	58975.87	86288.21	-3.93	3781.1	22353.14	24183.24	137765.75	
1	360.37	423.56	-1412.74	0	0	1643.3	-1923.77	17988.33	53369.7	76866.87	21.14	16368.42	21595.61	23556.99	161227.62	
